key,response_text,notes,last_updated
greeting_welcome,"Hello! How can I help you today?",Default welcome message,
greeting_goodbye,"Thank you for chatting with us. Have a great day!",Standard goodbye message,
order_confirmation,"Thank you! Your order #{orderNumber} has been confirmed and will be processed within 24 hours.",Uses order number variable,
order_status,"Your order #{orderNumber} is currently #{status}. You can track it using your tracking number: #{trackingNumber}",Uses multiple variables,
payment_success,"Payment successful! Your order #{orderNumber} has been paid for and confirmed.",Payment confirmation message,
payment_failed,"I'm sorry, but there was an issue processing your payment. Please try again or contact support.",Payment failure message,
shipping_info,"Your order #{orderNumber} has been shipped and is on its way. Expected delivery: #{deliveryDate}",Shipping confirmation with delivery date,
return_request,"I can help you with a return request. Please provide your order number #{orderNumber} and reason for return.",Return assistance message,
support_contact,"Our support team is available Monday-Friday 9AM-6PM. You can reach us at support@company.com or call 1-800-HELP.",Contact information,
error_generic,"I'm sorry, I didn't understand that. Could you please try rephrasing your question?",Fallback error message,
error_network,"I'm experiencing some technical difficulties. Please try again in a moment.",Network error message,
product_inquiry,"I'd be happy to help you with product information. What specific product are you interested in?",Product help prompt,
pricing_info,"Our pricing varies by product and quantity. Could you tell me which product you're interested in?",Pricing inquiry response,
hours_operation,"We're open Monday-Friday 9AM-6PM, Saturday 10AM-4PM, and closed on Sundays.",Business hours information,
appointment_booking,"I can help you book an appointment. What date and time would work best for you?",Appointment booking prompt,
cancellation_policy,"Our cancellation policy allows cancellations up to 24 hours before your scheduled appointment.",Cancellation policy information,
refund_policy,"Refunds are processed within 5-7 business days after we receive your returned item.",Refund policy information,
warranty_info,"Our products come with a 1-year manufacturer warranty. Extended warranties are available.",Warranty information,
promotion_current,"We're currently offering 20% off all orders over $50. Use code SAVE20 at checkout!",Current promotion message,
newsletter_signup,"Would you like to sign up for our newsletter to receive exclusive deals and updates?",Newsletter signup prompt,
